date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1979-07-08,Indonesia,Thailand,2.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1378.5283897910422,1397.3366200431162
1979-07-08,Libya,Algeria,1.0,0.0,African Cup of Nations qualification,Tripoli,Libya,False,1507.1995477836617,1692.793526448599
1979-07-08,DR Congo,Togo,4.0,1.0,Friendly,Kinshasa,Zaïre,False,1624.5201536051215,1504.6326611507363
1979-07-08,Malawi,Kenya,0.0,0.0,Friendly,Lilongwe,Malawi,False,1526.4222322943272,1478.3994716840598
1979-07-09,Malaysia,Singapore,3.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1586.4248601328327,1342.7044887034974
1979-07-10,Bolivia,Paraguay,3.0,1.0,Copa Paz del Chaco,La Paz,Bolivia,False,1432.9275100233065,1655.7454977346615
1979-07-11,Myanmar,Singapore,4.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1506.0646652712844,1333.2161814489846
1979-07-11,Chile,Uruguay,1.0,0.0,Copa Juan Pinto Durán,Santiago,Chile,False,1540.7424654477768,1583.246466268409
1979-07-11,Indonesia,Japan,0.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1399.610022174457,1586.8844021446112
1979-07-11,Peru,Ecuador,2.0,1.0,Friendly,Lima,Peru,False,1726.2216589866741,1367.6773094325974
1979-07-12,Bolivia,Paraguay,1.0,1.0,Friendly,Cochabamba,Bolivia,False,1476.0402090683094,1612.6327986896586
1979-07-13,Myanmar,Indonesia,4.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1523.3399569679768,1409.4549226323104
1979-07-13,Japan,Singapore,3.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1577.0395016867578,1315.9408897522922
1979-07-13,Egypt,Kenya,3.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False,1697.1361320328278,1481.412159898464
1979-07-15,Kenya,DR Congo,2.0,2.0,Friendly,Nairobi,Kenya,False,1470.5463077861154,1632.904671342274
1979-07-15,Malawi,Tanzania,2.0,0.0,Friendly,Blantyre,Malawi,False,1523.4095440799229,1443.466588589165
1979-07-17,Malawi,Tanzania,2.0,0.0,Friendly,Blantyre,Malawi,False,1532.6745621767031,1434.2015704923847
1979-07-18,Bolivia,Argentina,2.0,1.0,Copa América,La Paz,Bolivia,False,1478.209689681567,1971.1563702105384
1979-07-18,Peru,Colombia,0.0,1.0,Friendly,Lima,Peru,False,1727.8709314682098,1497.1266766234899
1979-07-18,Uruguay,Chile,2.0,1.0,Copa Juan Pinto Durán,Montevideo,Uruguay,False,1564.2527664653674,1559.7361652508184
